,X1,X2,X3,X4,X5,X6,classe
0,1,19,35,28,17,4,1
1,4,22,38,32,14,9,1
2,-2,16,39,29,21,5,1
3,-2,22,33,32,22,1,1
4,-1,16,33,26,16,7,1
5,0,18,36,26,20,9,1
6,-1,22,36,27,20,8,1
7,-1,24,33,26,20,2,1
8,4,18,35,25,15,2,1
9,0,18,35,31,22,3,1
10,3,23,32,29,15,4,1
11,1,23,35,32,17,2,1
12,1,23,35,25,16,2,1
13,6,22,38,31,21,9,1
14,-2,21,36,25,21,6,1
15,6,24,38,29,16,2,1
16,-2,16,34,32,17,1,1
17,4,23,32,26,16,5,1
18,-1,23,35,26,18,7,1
19,2,17,37,32,15,9,1
20,1,19,38,26,17,1,1
21,-2,24,32,28,20,3,1
22,5,16,36,28,15,5,1
23,-1,20,40,31,18,3,1
24,6,16,34,28,17,9,1
25,5,20,35,28,22,1,1
26,6,16,36,33,18,4,1
27,5,17,38,26,17,4,1
28,3,20,32,28,18,7,1
29,0,16,33,31,15,9,1
30,-1,20,37,27,16,3,1
31,2,20,40,32,14,6,1
32,-2,24,33,26,16,5,1
33,-2,16,35,25,14,3,1
34,0,20,34,32,19,4,1
35,3,16,38,26,20,9,1
36,-1,19,35,28,18,7,1
37,2,20,39,25,17,6,1
38,-1,23,33,27,22,6,1
39,0,21,38,29,20,7,1
40,5,19,33,31,14,8,1
41,0,23,32,27,19,6,1
42,-2,23,33,27,19,7,1
43,4,24,35,29,16,8,1
44,0,19,33,31,17,3,1
45,-1,20,37,25,21,3,1
46,-1,17,34,28,17,3,1
47,1,22,40,29,22,2,1
48,-1,20,33,33,19,9,1
49,3,20,39,33,22,3,1
50,4,21,33,29,20,3,1
51,6,19,33,25,21,8,1
52,-2,18,37,33,14,7,1
53,-2,17,39,32,20,9,1
54,-2,23,34,33,18,3,1
55,1,21,33,27,18,7,1
56,5,22,40,26,21,7,1
57,3,16,37,31,17,9,1
58,5,18,36,28,18,6,1
59,-1,19,39,25,20,7,1
60,4,18,33,27,22,2,1
61,3,18,35,29,16,9,1
62,2,21,33,27,15,1,1
63,6,24,37,30,16,4,1
64,4,20,32,25,14,7,1
65,3,17,36,26,16,4,1
66,1,24,36,26,17,4,1
67,1,17,40,31,15,5,1
68,-1,23,33,27,18,3,1
69,5,17,33,31,21,8,1
70,3,24,38,31,19,7,1
71,3,19,38,27,14,6,1
72,5,23,38,28,20,8,1
73,0,17,35,32,18,1,1
74,-1,22,40,26,16,8,1
75,1,20,35,31,19,4,1
76,0,17,32,29,14,8,1
77,0,20,39,32,20,3,1
78,-1,22,38,31,22,8,1
79,1,17,40,32,19,3,1
80,2,21,37,33,22,6,1
81,4,24,37,33,15,5,1
82,5,21,35,31,21,1,1
83,2,19,39,29,22,1,1
84,0,22,37,33,14,5,1
85,4,16,36,26,18,9,1
86,0,22,32,29,15,2,1
87,2,16,33,27,19,2,1
88,5,23,38,33,16,8,1
89,-1,19,33,27,14,4,1
90,0,17,32,27,16,7,1
91,-2,21,39,32,14,2,1
92,0,18,37,30,15,3,1
93,6,17,38,29,15,7,1
94,5,20,40,28,19,3,1
95,0,17,32,26,21,5,1
96,-2,21,37,31,19,3,1
97,1,19,37,30,19,5,1
98,0,22,34,30,22,9,1
99,6,21,37,29,16,2,1
100,0,18,32,28,22,8,1
101,3,18,36,32,14,8,1
102,5,16,36,31,19,1,1
103,5,17,39,33,14,1,1
104,3,16,39,32,14,8,1
105,6,20,37,31,21,5,1
106,4,21,33,25,22,6,1
107,-2,19,33,26,19,1,1
108,6,23,38,29,16,6,1
109,-1,21,33,32,17,3,1
110,6,22,33,27,14,1,1
111,3,19,35,27,17,2,1
112,-1,23,34,29,14,1,1
113,6,17,32,33,15,3,1
114,5,19,34,32,19,8,1
115,5,19,32,26,16,8,1
116,6,19,39,25,21,1,1
117,5,19,35,33,19,9,1
118,-1,20,37,33,17,3,1
119,6,20,32,29,20,1,1
120,-1,24,35,27,21,2,1
121,6,16,32,31,14,5,1
122,0,19,40,30,21,6,1
123,0,16,35,28,19,9,1
124,0,20,33,31,18,8,1
125,4,21,40,30,18,2,1
126,3,21,38,30,15,1,1
127,5,24,37,32,16,7,1
128,4,19,36,28,21,8,1
129,2,18,34,30,14,2,1
