,X1,X2,X3,X4,X5,X6,classe
255,17,64,79,26,21,27,3
256,27,59,83,24,28,28,3
257,19,62,75,31,25,33,3
258,18,65,72,28,30,37,3
259,9,67,73,28,26,37,3
260,11,73,76,36,13,25,3
261,20,69,86,28,31,35,3
262,12,73,82,24,22,37,3
263,21,60,77,20,27,23,3
264,17,61,71,32,18,35,3
265,24,67,71,21,27,26,3
266,18,73,73,32,24,37,3
267,10,59,77,27,29,19,3
268,17,63,86,22,23,32,3
269,22,65,87,18,21,26,3
270,14,63,85,35,19,20,3
271,23,60,77,23,25,31,3
272,12,56,73,29,26,37,3
273,10,56,76,18,14,27,3
274,25,72,77,30,27,33,3
275,14,71,89,23,20,27,3
276,27,71,86,18,20,24,3
277,27,68,82,21,24,20,3
278,25,56,87,28,26,29,3
279,24,71,83,26,29,34,3
280,27,65,75,36,19,29,3
281,13,59,76,36,16,29,3
282,18,61,83,35,18,30,3
283,26,56,87,19,26,19,3
284,9,59,85,24,22,37,3
285,24,70,76,20,20,22,3
286,12,72,82,24,27,28,3
287,21,57,80,26,30,31,3
288,17,61,88,35,15,27,3
289,10,57,72,21,14,23,3
290,20,66,77,21,22,21,3
291,27,59,87,28,16,19,3
292,17,69,74,29,19,21,3
293,10,71,78,33,20,21,3
294,21,71,88,22,30,34,3
295,24,70,78,35,27,21,3
296,14,74,81,20,19,37,3
297,25,72,89,19,14,36,3
298,21,58,81,35,29,27,3
299,27,70,84,33,15,19,3
300,11,56,80,31,28,34,3
301,23,62,81,34,25,24,3
302,20,57,82,22,31,23,3
303,18,67,86,25,24,31,3
304,23,69,85,35,29,27,3
305,15,71,74,20,14,29,3
306,16,57,85,33,23,19,3
307,12,60,74,33,30,24,3
308,26,61,80,26,17,23,3
309,14,69,80,36,22,36,3
310,16,67,78,18,23,20,3
311,15,63,80,35,15,30,3
312,13,64,88,29,21,35,3
313,22,61,85,25,31,20,3
314,22,63,89,25,25,23,3
315,15,68,74,33,31,32,3
316,20,58,86,28,23,22,3
317,16,59,81,20,27,31,3
318,17,62,80,35,28,26,3
319,24,71,76,29,20,32,3
320,21,68,74,23,23,29,3
321,24,57,75,36,30,28,3
322,15,59,74,27,17,34,3
323,17,57,86,28,25,37,3
324,23,66,79,32,14,22,3
325,20,63,76,35,16,19,3
326,23,66,85,25,28,37,3
327,11,62,89,24,24,23,3
328,22,71,74,30,20,29,3
329,15,59,77,35,23,32,3
330,22,61,72,35,22,36,3
331,17,65,80,19,21,28,3
332,23,69,78,29,18,25,3
333,18,71,89,33,15,34,3
334,10,74,71,23,18,31,3
335,16,70,79,29,27,28,3
336,12,56,85,29,16,34,3
337,16,74,73,34,15,31,3
338,19,65,86,21,28,22,3
339,9,59,84,20,23,27,3
340,24,71,71,32,20,28,3
341,16,56,73,25,22,24,3
342,21,59,81,20,16,23,3
343,14,73,82,31,17,21,3
344,26,67,79,20,18,19,3
345,24,64,85,22,25,25,3
346,13,62,73,22,28,30,3
347,21,70,84,23,20,27,3
348,25,57,88,26,13,36,3
349,15,69,77,27,21,33,3
350,9,69,73,24,14,23,3
351,13,62,84,32,18,22,3
352,17,63,75,23,14,21,3
353,14,64,84,21,26,29,3
354,20,72,73,30,19,26,3
355,12,71,86,35,25,30,3
356,23,74,88,33,30,37,3
357,23,70,74,30,23,26,3
358,21,69,80,30,14,35,3
359,22,66,77,28,29,27,3
360,16,60,84,36,14,33,3
361,25,56,77,25,27,28,3
362,27,61,77,30,23,24,3
363,10,64,78,24,18,20,3
364,21,61,85,23,20,28,3
365,14,74,81,28,18,19,3
366,23,68,87,30,17,22,3
367,14,67,82,25,13,33,3
368,23,68,73,32,20,26,3
369,12,64,87,27,29,24,3
370,17,68,71,23,13,24,3
371,23,66,78,31,17,23,3
372,25,71,79,33,18,27,3
373,14,74,75,28,29,23,3
374,19,66,85,32,29,33,3
375,9,56,87,22,25,20,3
376,24,67,71,32,25,22,3
377,18,70,72,33,24,36,3
378,22,70,74,22,13,22,3
379,22,56,77,35,26,25,3
380,13,58,77,28,21,32,3
381,21,67,81,26,18,34,3
382,15,62,84,20,24,32,3
383,14,62,79,33,19,29,3
384,20,57,81,32,23,31,3
385,20,57,85,25,20,21,3
386,14,65,83,31,29,23,3
387,19,64,71,33,29,22,3
388,14,60,76,21,20,29,3
389,13,71,80,18,14,19,3
390,11,59,79,31,14,37,3
391,12,74,74,22,19,36,3
392,11,67,72,22,27,24,3
393,27,74,85,25,26,30,3
394,14,74,78,28,15,31,3
395,11,72,88,33,31,33,3
396,17,66,78,32,17,35,3
397,9,71,72,36,23,21,3
398,26,70,80,21,13,36,3
399,17,74,75,21,20,28,3
400,11,73,77,22,29,23,3
401,23,61,72,22,13,32,3
402,25,72,88,31,25,29,3
403,15,69,80,32,31,27,3
404,20,73,76,27,21,25,3
405,14,62,86,33,26,27,3
406,19,73,73,24,30,35,3
407,16,62,84,18,17,28,3
408,9,74,72,33,19,23,3
409,16,68,86,36,24,23,3
410,17,74,83,33,21,26,3
411,15,68,81,26,27,31,3
412,23,61,71,23,16,27,3
413,15,71,87,35,19,22,3
414,18,71,88,21,15,23,3
415,21,59,76,26,31,31,3
416,26,60,88,31,14,20,3
417,13,66,77,23,26,28,3
418,12,72,84,27,18,37,3
419,17,74,86,27,23,28,3
420,17,60,74,35,17,26,3
421,16,57,78,18,20,32,3
422,27,64,77,21,28,31,3
423,14,65,83,21,24,37,3
424,24,61,73,33,16,36,3
425,19,58,87,27,23,35,3
426,22,57,84,25,31,37,3
427,17,71,76,34,23,19,3
428,27,67,72,34,14,21,3
429,16,64,83,32,20,33,3
430,18,73,82,33,29,25,3
431,11,62,86,28,15,19,3
432,17,62,77,20,30,28,3
433,27,67,79,22,17,21,3
434,25,71,71,29,20,36,3
435,9,69,73,29,29,32,3
436,12,61,81,27,21,33,3
437,12,67,74,21,16,26,3
438,22,63,79,31,25,32,3
439,12,67,77,34,23,20,3
440,20,74,74,22,13,24,3
441,26,73,71,23,24,21,3
442,22,57,79,20,21,34,3
443,16,56,73,26,26,35,3
444,11,60,78,31,15,32,3
445,27,72,84,36,31,32,3
446,17,65,74,25,15,31,3
447,12,68,74,21,28,32,3
448,22,65,79,22,28,36,3
449,22,58,74,32,21,25,3
450,12,62,82,25,23,27,3
451,14,58,74,35,23,26,3
452,25,56,84,20,16,23,3
453,12,59,83,19,27,36,3
454,22,63,89,27,21,37,3
455,18,66,84,22,15,31,3
456,27,69,79,30,15,23,3
457,11,68,71,18,29,23,3
458,10,66,85,34,30,23,3
