,X1,X2,X3,X4,X5,X6,classe
494,95,16,32,71,64,38,4
495,97,19,26,70,61,44,4
496,101,24,27,73,69,40,4
497,91,18,40,76,58,32,4
498,89,15,31,67,63,34,4
499,97,15,36,78,61,37,4
500,98,23,26,73,65,37,4
501,100,13,35,71,62,40,4
502,96,16,27,70,65,37,4
503,91,20,39,68,60,45,4
504,98,15,35,67,67,35,4
505,102,19,38,67,64,39,4
506,100,22,38,65,66,41,4
507,90,15,28,75,59,44,4
508,101,16,33,67,65,42,4
509,91,10,26,75,69,44,4
510,101,17,29,74,60,39,4
511,100,16,37,69,61,42,4
512,99,13,39,69,71,41,4
513,92,15,37,70,63,35,4
514,91,10,29,75,65,35,4
515,103,22,28,77,71,35,4
516,99,19,34,65,67,39,4
517,90,10,30,75,61,33,4
518,96,23,40,66,68,34,4
519,91,19,28,79,60,36,4
520,103,15,31,67,61,34,4
521,95,20,39,67,59,46,4
522,93,15,35,72,72,42,4
523,99,22,29,73,69,40,4
524,101,12,28,67,63,42,4
525,98,23,37,67,58,37,4
526,92,13,35,65,70,38,4
527,100,19,26,75,59,34,4
528,92,19,35,78,72,44,4
529,103,11,37,73,68,44,4
530,103,19,31,76,64,36,4
531,97,14,26,67,60,43,4
532,94,17,34,79,59,42,4
533,90,19,31,72,62,39,4
534,102,21,38,70,65,46,4
535,91,15,32,70,70,41,4
536,97,18,27,73,64,40,4
537,90,14,30,79,71,34,4
538,94,18,36,68,66,44,4
539,103,15,28,74,62,32,4
540,102,18,38,79,71,35,4
541,101,19,38,75,72,39,4
542,103,12,28,79,71,45,4
543,94,10,30,75,58,41,4
544,93,16,40,70,68,37,4
545,97,19,36,70,70,32,4
546,90,21,32,70,61,33,4
547,91,14,27,67,69,41,4
548,99,16,27,68,69,42,4
549,90,20,33,71,65,36,4
550,91,23,30,65,63,35,4
551,93,20,29,72,58,35,4
552,99,21,34,70,66,37,4
553,91,24,30,76,60,33,4
554,91,24,40,72,61,33,4
555,97,13,33,69,71,40,4
556,91,16,35,65,69,40,4
557,100,16,30,67,72,45,4
558,97,20,26,77,70,41,4
559,92,23,36,72,64,32,4
560,89,23,26,66,68,37,4
561,99,16,34,66,58,39,4
562,90,11,38,65,68,32,4
563,94,15,26,78,64,37,4
564,93,23,33,70,63,32,4
565,92,23,33,65,58,45,4
566,97,23,37,78,61,39,4
567,102,14,39,67,68,34,4
568,90,15,29,73,68,39,4
569,100,13,39,67,62,46,4
570,103,12,37,66,69,32,4
571,89,19,27,76,68,34,4
572,96,23,30,71,60,36,4
573,93,23,31,73,71,38,4
574,95,21,36,74,69,39,4
575,92,17,37,69,61,44,4
576,101,15,31,65,72,35,4
577,94,11,36,68,63,33,4
578,99,22,32,66,67,32,4
579,96,24,36,69,64,34,4
580,100,11,29,73,68,41,4
581,95,15,33,77,59,41,4
582,92,21,27,79,70,33,4
583,93,19,31,79,64,46,4
584,102,24,37,77,63,40,4
585,103,13,27,72,67,37,4
586,100,16,26,78,66,35,4
587,97,22,31,78,59,46,4
588,92,12,33,72,67,43,4
589,100,11,33,74,71,36,4
590,99,17,29,67,60,44,4
591,95,16,40,67,68,44,4
592,103,12,27,68,62,39,4
593,93,15,29,74,72,33,4
594,103,22,39,73,63,46,4
595,101,23,32,72,69,36,4
596,91,16,33,78,58,42,4
597,101,20,26,69,69,38,4
598,95,13,36,70,60,44,4
599,94,14,37,76,68,41,4
600,96,11,29,73,64,38,4
601,96,11,34,73,58,41,4
602,99,23,27,66,64,35,4
603,100,18,32,66,72,38,4
604,89,19,40,72,59,33,4
605,102,10,29,75,61,36,4
606,101,10,31,69,64,41,4
607,96,19,36,67,70,35,4
608,93,18,31,73,61,39,4
609,102,18,37,66,68,36,4
610,99,21,40,65,69,37,4
611,95,24,35,73,68,43,4
612,95,12,40,75,67,42,4
613,94,13,27,67,61,33,4
614,99,20,39,74,58,33,4
615,100,13,36,71,68,33,4
616,101,14,32,76,65,34,4
617,99,24,29,72,71,36,4
618,94,18,26,65,62,33,4
619,92,20,37,70,64,37,4
620,91,20,34,65,68,41,4
621,94,22,34,69,68,43,4
622,100,13,38,72,66,36,4
623,93,15,32,69,71,43,4
624,90,17,36,65,62,37,4
625,95,18,37,66,65,37,4
626,97,16,32,74,71,43,4
627,91,24,34,70,69,36,4
628,100,13,38,77,71,33,4
629,90,14,35,68,71,40,4
630,99,13,32,67,70,34,4
631,102,13,39,65,60,37,4
632,89,24,36,75,60,32,4
633,94,11,40,67,70,38,4
634,95,23,39,70,70,42,4
635,92,12,33,67,66,45,4
636,90,16,39,76,67,32,4
637,100,16,27,76,60,37,4
638,95,19,38,69,71,32,4
639,92,21,29,78,72,37,4
640,99,23,35,65,64,44,4
641,92,24,33,75,63,44,4
642,100,19,28,65,59,32,4
643,91,11,26,79,71,37,4
644,93,19,33,70,70,45,4
645,101,22,36,75,68,35,4
646,101,18,29,72,59,32,4
647,102,24,34,75,60,35,4
648,89,18,26,66,65,43,4
649,93,13,32,73,62,34,4
650,101,23,32,69,62,40,4
651,97,20,31,67,66,33,4
652,91,22,31,76,69,32,4
653,94,13,29,70,64,44,4
654,101,20,29,66,64,43,4
655,98,14,33,74,63,42,4
656,97,22,27,70,71,42,4
657,101,18,36,68,60,37,4
658,90,17,33,68,65,33,4
659,93,13,29,68,62,35,4
660,93,12,35,74,60,45,4
661,95,17,30,69,62,44,4
662,92,17,35,70,63,33,4
663,90,17,31,65,72,34,4
664,92,19,34,74,72,34,4
665,102,19,35,67,69,33,4
666,101,18,27,68,64,38,4
667,93,21,26,79,60,37,4
668,101,22,33,65,71,36,4
669,97,24,30,69,72,41,4
670,103,21,40,68,61,34,4
671,95,19,35,67,60,39,4
